There is a total of 40000 digits of the types:  0 1 2 3 4 5 6 7 8 9
Cuda enabled 

Net(
  (l1): Linear(in_features=784, out_features=20, bias=True)
  (l_out): Linear(in_features=20, out_features=10, bias=True)
)
Epoch 375 : Train Loss 4.156784 , Train acc 0.976964, Valid acc 0.939250
Epoch 380 : Train Loss 4.156581 , Train acc 0.977036, Valid acc 0.939000
Epoch 385 : Train Loss 4.156396 , Train acc 0.977107, Valid acc 0.939250
Epoch 390 : Train Loss 4.156260 , Train acc 0.977107, Valid acc 0.939250
Epoch 395 : Train Loss 4.156177 , Train acc 0.977143, Valid acc 0.939000
Epoch 400 : Train Loss 4.156049 , Train acc 0.977143, Valid acc 0.939000
Epoch 405 : Train Loss 4.155896 , Train acc 0.977214, Valid acc 0.938750
Epoch 410 : Train Loss 4.155817 , Train acc 0.977214, Valid acc 0.938750
Epoch 415 : Train Loss 4.155757 , Train acc 0.977250, Valid acc 0.938250
Epoch 420 : Train Loss 4.155630 , Train acc 0.977286, Valid acc 0.938250
Epoch 425 : Train Loss 4.155485 , Train acc 0.977321, Valid acc 0.938750
Epoch 430 : Train Loss 4.155419 , Train acc 0.977321, Valid acc 0.939000
Epoch 435 : Train Loss 4.155369 , Train acc 0.977321, Valid acc 0.939000
Epoch 440 : Train Loss 4.155313 , Train acc 0.977357, Valid acc 0.938750
Epoch 445 : Train Loss 4.155242 , Train acc 0.977357, Valid acc 0.939250
Epoch 450 : Train Loss 4.155194 , Train acc 0.977357, Valid acc 0.939000
Epoch 455 : Train Loss 4.155087 , Train acc 0.977393, Valid acc 0.939000
Epoch 460 : Train Loss 4.155036 , Train acc 0.977393, Valid acc 0.939500
Epoch 465 : Train Loss 4.154945 , Train acc 0.977429, Valid acc 0.939750
Epoch 470 : Train Loss 4.154862 , Train acc 0.977464, Valid acc 0.939750
Epoch 475 : Train Loss 4.154812 , Train acc 0.977500, Valid acc 0.940000
Epoch 480 : Train Loss 4.154706 , Train acc 0.977536, Valid acc 0.940250
Epoch 485 : Train Loss 4.154625 , Train acc 0.977536, Valid acc 0.940250
Epoch 490 : Train Loss 4.154580 , Train acc 0.977536, Valid acc 0.940250
Epoch 495 : Train Loss 4.154526 , Train acc 0.977571, Valid acc 0.939750
Epoch 500 : Train Loss 4.154319 , Train acc 0.977679, Valid acc 0.939750
Epoch 505 : Train Loss 4.154218 , Train acc 0.977679, Valid acc 0.940500
Epoch 510 : Train Loss 4.154151 , Train acc 0.977714, Valid acc 0.940000
Epoch 515 : Train Loss 4.154042 , Train acc 0.977786, Valid acc 0.940000
Epoch 520 : Train Loss 4.153934 , Train acc 0.977786, Valid acc 0.940250
Epoch 525 : Train Loss 4.153837 , Train acc 0.977821, Valid acc 0.940250
Epoch 530 : Train Loss 4.153725 , Train acc 0.977857, Valid acc 0.940000
Epoch 535 : Train Loss 4.153663 , Train acc 0.977857, Valid acc 0.939750
Epoch 540 : Train Loss 4.153619 , Train acc 0.977857, Valid acc 0.939750
Epoch 545 : Train Loss 4.153550 , Train acc 0.977893, Valid acc 0.939500
Epoch 550 : Train Loss 4.153482 , Train acc 0.977929, Valid acc 0.940000
Epoch 555 : Train Loss 4.153391 , Train acc 0.977964, Valid acc 0.939750
Epoch 560 : Train Loss 4.153224 , Train acc 0.978000, Valid acc 0.939750
Epoch 565 : Train Loss 4.153119 , Train acc 0.978036, Valid acc 0.940000
Epoch 570 : Train Loss 4.153060 , Train acc 0.978036, Valid acc 0.939750
Epoch 575 : Train Loss 4.152977 , Train acc 0.978071, Valid acc 0.939000
Epoch 580 : Train Loss 4.152823 , Train acc 0.978179, Valid acc 0.938000
Epoch 585 : Train Loss 4.152654 , Train acc 0.978214, Valid acc 0.938250
Epoch 590 : Train Loss 4.152586 , Train acc 0.978214, Valid acc 0.938250
Epoch 595 : Train Loss 4.152525 , Train acc 0.978250, Valid acc 0.938750
Epoch 600 : Train Loss 4.152469 , Train acc 0.978250, Valid acc 0.938500
Epoch 605 : Train Loss 4.152429 , Train acc 0.978250, Valid acc 0.938500
Epoch 610 : Train Loss 4.152344 , Train acc 0.978286, Valid acc 0.938250
Epoch 615 : Train Loss 4.152308 , Train acc 0.978286, Valid acc 0.938500
Epoch 620 : Train Loss 4.152284 , Train acc 0.978286, Valid acc 0.939000
Epoch 625 : Train Loss 4.152262 , Train acc 0.978286, Valid acc 0.939000
Epoch 630 : Train Loss 4.152244 , Train acc 0.978286, Valid acc 0.939000
Epoch 635 : Train Loss 4.152226 , Train acc 0.978286, Valid acc 0.938750
